data
"民法商法-农民专业合作社法2017-12-27：第十五条 农民专业合作社章程应当载明下列事项：,（一）名称和住所；,（二）业务范围；,（三）成员资格及入社、退社和除名；,（四）成员的权利和义务；,（五）组织机构及其产生办法、职权、任期、议事规则；,（六）成员的出资方式、出资额，成员出资的转让、继承、担保；,（七）财务管理和盈余分配、亏损处理；,（八）章程修改程序；,（九）解散事由和清算办法；,（十）公告事项及发布方式；,（十一）附加表决权的设立、行使方式和行使范围；,（十二）需要载明的其他事项。"
民法商法-个人独资企业法1999-08-30：第十七条 个人独资企业投资人对本企业的财产依法享有所有权，其有关权利可以依法进行转让或继承。
"民法商法-个人独资企业法1999-08-30：第二十六条 个人独资企业有下列情形之一时，应当解散：,（一）投资人决定解散；,（二）投资人死亡或者被宣告死亡，无继承人或者继承人决定放弃继承；,（三）被依法吊销营业执照；,（四）法律、行政法规规定的其他情形。"
民法商法-个人独资企业法1999-08-30：第二十八条 个人独资企业解散后，原投资人对个人独资企业存续期间的债务仍应承担偿还责任，但债权人在五年内未向债务人提出偿债请求的，该责任消灭。
民法商法-公司法2018-10-26：第七十五条 自然人股东死亡后，其合法继承人可以继承股东资格；但是，公司章程另有规定的除外。
民法商法-公司法2018-10-26：第一百一十五条 公司不得直接或者通过子公司向董事、监事、高级管理人员提供借款。
民法商法-公司法2018-10-26：第一百五十五条 公司以实物券方式发行公司债券的，必须在债券上载明公司名称、债券票面金额、利率、偿还期限等事项，并由法定代表人签名，公司盖章。
"民法商法-公司法2018-10-26：第一百五十七条 公司发行公司债券应当置备公司债券存根簿。,发行记名公司债券的，应当在公司债券存根簿上载明下列事项：,（一）债券持有人的姓名或者名称及住所；,（二）债券持有人取得债券的日期及债券的编号；,（三）债券总额，债券的票面金额、利率、还本付息的期限和方式；,（四）债券的发行日期。,发行无记名公司债券的，应当在公司债券存根簿上载明债券总额、利率、偿还期限和方式、发行日期及债券的编号。"
民法商法-商标法2019-04-23：第一条 为了加强商标管理，保护商标专用权，促使生产、经营者保证商品和服务质量，维护商标信誉，以保障消费者和生产、经营者的利益，促进社会主义市场经济的发展，特制定本法。
"民法商法-商标法2019-04-23：第七条 申请注册和使用商标，应当遵循诚实信用原则。,商标使用人应当对其使用商标的商品质量负责。各级工商行政管理部门应当通过商标管理，制止欺骗消费者的行为。"
"民法商法-电子签名法2019-04-23：第三条 民事活动中的合同或者其他文件、单证等文书，当事人可以约定使用或者不使用电子签名、数据电文。,当事人约定使用电子签名、数据电文的文书，不得仅因为其采用电子签名、数据电文的形式而否定其法律效力。,前款规定不适用下列文书：,（一）涉及婚姻、收养、继承等人身关系的；,（二）涉及停止供水、供热、供气等公用事业服务的；,（三）法律、行政法规规定的不适用电子文书的其他情形。"
